OBJECTID,Station,Station Code,Web Address,Parking Spaces,Parking,Street Address,City,Zip Code,GlobalID,LABEL,x,y
1,Decatur,E6,https://www.itsmarta.com/Decatur.aspx,0,No,400 Church St,Decatur,30030,65feb604-07a6-4b89-b4f2-4dbe4978e4bb,MARTA Decatur Station,2257473.98825609,1373038.54818618
2,Avondale,E7,https://www.itsmarta.com/Avondale.aspx,734,Yes,915 E Ponce de Leon Ave,Decatur,30030,5d51b948-7223-4a8f-af49-d5094aa2815d,MARTA Avondale Station,2261436.21261509,1373218.46154026
3,Chamblee,NE9,https://www.itsmarta.com/Chamblee.aspx,1149,Yes,5200 New Peachtree Road,Atlanta,30341,a1bd62aa-3726-44f0-ad87-ddcbb499dd81,MARTA Chamblee Station,2254202.943289,1414126.71108843
4,Lakewood-Ft. McPherson,S4,https://www.itsmarta.com/Lakewood.aspx,1048,Yes,2020 Lee St SW,Atlanta,30310,ecba953e-5cc2-4f75-a45c-1058a0a4bf59,MARTA Lakewood-Ft. McPherson Station,2216818.38452809,1346119.46488534
5,Oakland City,S3,https://www.itsmarta.com/Oakland-City.aspx,443,Yes,1400 Lee St SW,Atlanta,30310,59578a85-a32d-4d34-9b34-0cdf0ab77444,MARTA Oakland City Station,2217984.4822615,1352193.39072959
6,West End,S2,https://www.itsmarta.com/West-End.aspx,472,Yes,680 Lee St SW,Atlanta,30310,30965596-533a-4daa-984e-fc4c78ac0846,MARTA West End Station,2221494.58580559,1359022.32556251
7,Arts Center,N5,https://www.itsmarta.com/Arts-Center.aspx,33,Yes,1255 West Peachtree St,Atlanta,30309,eb4d3626-57fe-4a2d-be70-efb8949ae584,MARTA Arts Center Station,2229702.47621392,1378383.76288942
8,Lindbergh Center,N6,https://www.itsmarta.com/Lindbergh.aspx,2519,Yes,2424 Piedmont Rd NE,Atlanta,30324,4474c971-f919-4e14-a88e-cb129d91b578,MARTA Lindbergh Center Station,2234974.22715334,1390526.81799959
9,Kensington,E8,https://www.itsmarta.com/Kensington.aspx,1962,Yes,3350 Kensington Rd,Decatur,30032,216ed651-7430-4955-97fd-b9d755724a37,MARTA Kensington Station,2270678.58389409,1372323.8780276
10,Georgia State,E1,https://www.itsmarta.com/Georgia-State.aspx,0,No,170 Piedmont Ave SE,Atlanta,30303,c8bfd3be-41a3-434e-90be-87a585e227a2,MARTA Georgia State Station,2229964.28113651,1364154.24410442
11,King Memorial,E2,https://www.itsmarta.com/King-Memorial.aspx,0,No,377 Decatur St SE,Atlanta,30312,1cc24c5d-9c1e-4cdf-ae54-d66451df345e,MARTA King Memorial Station,2233094.79095159,1364085.28525284
12,Inman Park-Reynoldstown,E3,https://www.itsmarta.com/Inman-Park.aspx,401,Yes,1055 DeKalb Ave NE,Atlanta,30307,85d3e099-5588-4734-bdf3-74ce0ef1ed48,MARTA Inman Park-Reynoldstown Station,2240026.61698292,1366838.39457601
13,Edgewood-Candler Park,E4,https://www.itsmarta.com/Edgewood-Candler-Park.aspx,611,Yes,1475 DeKalb Ave NE,Atlanta,30307,32281b03-42b3-48e9-9fe9-457574e45d77,MARTA Edgewood-Candler Park Station,2243941.09865525,1368430.60759892
14,East Lake,E5,https://www.itsmarta.com/East-Lake.aspx,1101,Yes,2260 College Ave,Atlanta,30307,bbe357e0-0e2d-4a71-92ea-de3182c1327a,MARTA East Lake Station,2252097.56561,1369621.40377376
15,Indian Creek,E9,https://www.itsmarta.com/Indian-Creek.aspx,2364,Yes,3901 Durham Park Rd,Stone Mountain,30083,fffa961f-2364-4cd0-bb36-ddf1e8b81534,MARTA Indian Creek Station,2277440.64976626,1371279.36797751
16,Vine City,W2,https://www.itsmarta.com/Vine-City.aspx,0,No,502 Rhodes St NW,Atlanta,30314,507e27f6-1258-48e6-8421-d6e07fe0c311,MARTA Vine City Station,2224516.77004991,1366533.17438591
17,Ashby,W3,https://www.itsmarta.com/Ashby.aspx,142,Yes,65 Joseph E Lowery Blvd,Atlanta,30314,4640d7db-5b4c-47a1-b250-397e43b728bf,MARTA Ashby Station,2220564.014504,1366468.69879309
18,Bankhead,P4,https://www.itsmarta.com/Bankhead.aspx,11,Yes,1335 Donald Hollowell Pkwy,Atlanta,30318,b653356d-421d-4494-8643-c5a651bf7e2c,MARTA Bankhead Station,2216887.13504675,1372250.77089034
19,West Lake,W4,https://www.itsmarta.com/West-Lake.aspx,391,Yes,80 Anderson Ave SW,Atlanta,30314,aae590c7-133c-4d07-8179-850b70a5d0dc,MARTA West Lake Station,2211870.08143259,1365387.48671667
20,Hamilton E. Holmes,W5,https://www.itsmarta.com/Hamilton-E-Holmes.aspx,1436,Yes,70 Hamilton E Holmes Dr NW,Atlanta,30311,741b99e2-a7fd-4594-bce6-805f77bc4377,MARTA Hamilton E. Holmes Station,2204256.0372775,1365832.34967209
21,Midtown,N4,https://www.itsmarta.com/Midtown.aspx,0,No,41 Tenth St NE,Atlanta,30309,eba0f713-bfef-49c6-a4fc-a4f8b1c708e5,MARTA Midtown Station,2229802.64366451,1375356.19151676
22,Dunwoody,N9,https://www.itsmarta.com/Dunwoody.aspx,1091,Yes,1118 Hammond Dr,Atlanta,30328,a4f0fdf0-890c-45f2-98ca-609b732237ee,MARTA Dunwoody Station,2242663.93159017,1426386.02908943
23,Medical Center,N8,https://www.itsmarta.com/Medical-Center.aspx,260,Yes,5711 Peachtree-Dunwoody Rd NE,Atlanta,30342,0ff7f482-d974-40ec-b7b2-93446f93cace,MARTA Medical Center Station,2240520.88174242,1422564.24834718
24,Sandy Springs,N10,https://www.itsmarta.com/Sandy-Springs.aspx,1050,Yes,1101 Mount Vernon Hwy,Atlanta,30338,ae7bccd9-bed6-48f9-893c-89ce7a9a0071,MARTA Sandy Springs Station,2240021.60321342,1430589.68341176
25,North Springs,N11,https://www.itsmarta.com/North-Springs.aspx,2378,Yes,7010 Peachtree Dunwoody Rd,Sandy Springs,30328,c7aaf1e2-555a-4d3b-8317-838f8de8bd4f,MARTA North Springs Station,2238765.70480659,1434671.59093034
26,Buckhead,N7,https://www.itsmarta.com/Buckhead.aspx,0,No,3360 Peachtree Rd NE,Atlanta,30326,e125e090-1304-4e0b-9c79-3cef1c4926c7,MARTA Buckhead Station,2235562.19021625,1399727.17394268
27,Lenox,NE7,https://www.itsmarta.com/Lenox.aspx,555,Yes,955 East Paces Ferry Rd NE,Atlanta,30326,4f17c25d-2a57-4f64-b1d0-6931d30f9624,MARTA Lenox Station,2238822.39596617,1399061.64049684
28,Brookhaven,NE8,https://www.itsmarta.com/Brookhaven.aspx,1460,Yes,4047 Peachtree Road NE,Atlanta,30319,2255b7ec-0fa0-4161-b59a-9ae8b0c080cf,MARTA Brookhaven Station,2244188.78976092,1404151.94921384
29,Doraville,NE10,https://www.itsmarta.com/Doraville.aspx,1257,Yes,6000 New Peachtree Rd,Doraville,30340,ac72733b-34ea-4d01-bd3b-ad29c6b98630,MARTA Doraville Station,2261891.09818825,1419561.24713534
30,North Avenue,N3,https://www.itsmarta.com/North-Ave.aspx,0,No,713 West Peachtree St NW,Atlanta,30308,5a0956a1-61dd-4a3a-b3d6-95b3415404ab,MARTA North Avenue Station,2229698.13960842,1372012.58435884
31,Civic Center,N2,https://www.itsmarta.com/Civic-Center.aspx,0,No,435 West Peachtree St NW,Atlanta,30308,55acecb0-a285-4715-8fe5-4798c7f62849,MARTA Civic Center Station,2229478.48355167,1370125.29810718
32,Peachtree Center,N1,https://www.itsmarta.com/Peachtree-Center.aspx,0,No,216 Peachtree St NE,Atlanta,30303,63fd827b-c14d-467d-aa64-0b9991c7afe0,MARTA Peachtree Center Station,2229447.75395434,1367686.55232851
33,Five Points,Five,https://www.itsmarta.com/Five-Points.aspx,0,No,30 Alabama St SW,Atlanta,30303,5ea30917-da06-4855-9f07-1b74f8382494,MARTA Five Points Station,2228184.03994634,1365561.39909851
34,GWCC/CNN Center,W1,https://www.itsmarta.com/Omni.aspx,0,No,100 Centennial Olympic Park Dr NW,Atlanta,30303,e3a14c71-ba11-4e5e-b145-cc83694e6367,MARTA GWCC/CNN Center Station,2226181.49670733,1366463.43928915
35,Garnett,S1,https://www.itsmarta.com/Garnett.aspx,0,No,225 Peachtree St SW,Atlanta,30303,3f29b8f1-13e0-4821-b3a9-785216f67b49,MARTA Garnett Station,2227001.97800601,1363731.77152418
36,Airport,S7,https://www.itsmarta.com/Airport.aspx,0,No,6000 S Terminal Pkwy,Atlanta,30337,05b9bf74-3af9-4402-a721-d8c3e248d348,MARTA Airport Station,2211518.06474817,1324431.37013826
37,College Park,S6,https://www.itsmarta.com/College-Park.aspx,2056,Yes,3800 Main St,Atlanta,30337,ccdf7e9e-ea0d-4a62-afc1-db136fbda69e,MARTA College Park Station,2210730.08633725,1328379.69229409
38,East Point,S5,https://www.itsmarta.com/East-Point.aspx,1002,Yes,2848 East Main St,East Point,30344,1de8ba65-8b6a-4373-85fc-2c7dfa412ac0,MARTA East Point Station,2213189.94230992,1337593.81166109
